FID,OBJECTID,DEPTH,DOWLKNUM,abs_depth,LAKE_NAME,Shape_Leng,e,n
341,1128902,0,3008500,0,Bad Medicine,19472.02438,320094,5223776
342,1128902,0,3008500,0,Bad Medicine,19472.02438,320089,5223765
343,1128902,0,3008500,0,Bad Medicine,19472.02438,320082,5223748
344,1128902,0,3008500,0,Bad Medicine,19472.02438,320078,5223738
345,1128902,0,3008500,0,Bad Medicine,19472.02438,320077,5223721
346,1128902,0,3008500,0,Bad Medicine,19472.02438,320083,5223699
347,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5223677
348,1128902,0,3008500,0,Bad Medicine,19472.02438,320094,5223665
349,1128902,0,3008500,0,Bad Medicine,19472.02438,320097,5223652
350,1128902,0,3008500,0,Bad Medicine,19472.02438,320100,5223641
351,1128902,0,3008500,0,Bad Medicine,19472.02438,320101,5223632
352,1128902,0,3008500,0,Bad Medicine,19472.02438,320101,5223618
353,1128902,0,3008500,0,Bad Medicine,19472.02438,320097,5223603
354,1128902,0,3008500,0,Bad Medicine,19472.02438,320097,5223582
355,1128902,0,3008500,0,Bad Medicine,19472.02438,320097,5223561
356,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5223538
357,1128902,0,3008500,0,Bad Medicine,19472.02438,320087,5223521
358,1128902,0,3008500,0,Bad Medicine,19472.02438,320080,5223503
359,1128902,0,3008500,0,Bad Medicine,19472.02438,320074,5223493
360,1128902,0,3008500,0,Bad Medicine,19472.02438,320062,5223483
361,1128902,0,3008500,0,Bad Medicine,19472.02438,320056,5223471
362,1128902,0,3008500,0,Bad Medicine,19472.02438,320048,5223450
363,1128902,0,3008500,0,Bad Medicine,19472.02438,320049,5223434
364,1128902,0,3008500,0,Bad Medicine,19472.02438,320053,5223417
365,1128902,0,3008500,0,Bad Medicine,19472.02438,320060,5223401
366,1128902,0,3008500,0,Bad Medicine,19472.02438,320064,5223391
367,1128902,0,3008500,0,Bad Medicine,19472.02438,320074,5223391
368,1128902,0,3008500,0,Bad Medicine,19472.02438,320079,5223395
369,1128902,0,3008500,0,Bad Medicine,19472.02438,320085,5223387
370,1128902,0,3008500,0,Bad Medicine,19472.02438,320085,5223375
371,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5223362
372,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5223347
373,1128902,0,3008500,0,Bad Medicine,19472.02438,320090,5223336
374,1128902,0,3008500,0,Bad Medicine,19472.02438,320084,5223328
375,1128902,0,3008500,0,Bad Medicine,19472.02438,320083,5223316
376,1128902,0,3008500,0,Bad Medicine,19472.02438,320079,5223306
377,1128902,0,3008500,0,Bad Medicine,19472.02438,320074,5223297
378,1128902,0,3008500,0,Bad Medicine,19472.02438,320065,5223286
379,1128902,0,3008500,0,Bad Medicine,19472.02438,320056,5223277
380,1128902,0,3008500,0,Bad Medicine,19472.02438,320047,5223271
381,1128902,0,3008500,0,Bad Medicine,19472.02438,320034,5223271
382,1128902,0,3008500,0,Bad Medicine,19472.02438,320030,5223272
383,1128902,0,3008500,0,Bad Medicine,19472.02438,320025,5223276
384,1128902,0,3008500,0,Bad Medicine,19472.02438,320013,5223275
385,1128902,0,3008500,0,Bad Medicine,19472.02438,320004,5223276
386,1128902,0,3008500,0,Bad Medicine,19472.02438,320001,5223272
387,1128902,0,3008500,0,Bad Medicine,19472.02438,319988,5223277
388,1128902,0,3008500,0,Bad Medicine,19472.02438,319980,5223289
389,1128902,0,3008500,0,Bad Medicine,19472.02438,319976,5223299
390,1128902,0,3008500,0,Bad Medicine,19472.02438,319973,5223306
391,1128902,0,3008500,0,Bad Medicine,19472.02438,319964,5223310
392,1128902,0,3008500,0,Bad Medicine,19472.02438,319957,5223315
393,1128902,0,3008500,0,Bad Medicine,19472.02438,319952,5223321
